,celebrity_previous_seasons,partner_previous_seasons,celebrity_gender,ballroom_partner_gender
0,0,0,male,female
1,0,1,female,male
2,0,2,male,female
3,0,3,female,male
4,0,4,male,female
5,0,5,female,male
6,0,6,female,male
7,0,7,female,male
8,0,8,male,female
9,0,9,female,male
10,0,0,female,male
11,0,1,male,female
12,0,2,female,male
13,0,3,male,female
14,0,4,male,female
15,0,0,male,female
16,0,1,male,female
17,0,2,female,male
18,0,3,female,male
19,0,0,male,female
20,0,0,male,female
21,0,0,male,female
22,0,1,female,male
23,0,2,female,male
24,0,3,female,male
25,0,4,male,female
26,0,5,male,female
27,1,6,male,female
28,0,7,male,female
29,0,8,male,female
30,0,9,female,male
31,0,10,male,female
32,0,0,female,male
33,0,1,female,male
34,0,2,female,male
35,0,3,male,female
36,0,4,male,female
37,0,5,female,male
38,0,6,male,female
39,0,7,female,male
40,0,8,female,male
41,0,9,female,male
42,0,10,male,female
43,0,11,female,male
44,0,0,male,female
45,0,1,male,female
46,0,2,female,male
47,0,3,male,female
48,0,0,female,male
49,0,1,male,female
50,1,2,male,female
51,0,3,male,female
52,0,4,female,male
53,0,5,female,male
54,0,6,female,male
55,0,7,female,male
56,0,0,male,female
57,0,0,female,male
58,0,1,female,male
59,0,2,male,female
60,0,3,male,female
61,0,4,male,female
62,0,5,male,female
63,0,0,female,male
64,0,0,female,male
65,0,1,male,female
66,0,2,female,male
67,0,3,male,female
68,0,4,male,female
69,0,5,male,female
70,0,6,male,male
71,0,0,male,female
72,0,1,female,male
73,0,2,male,female
74,0,3,female,male
75,0,4,male,female
76,0,5,female,male
77,0,6,male,female
78,0,7,male,female
79,0,8,male,female
80,0,9,male,male
81,0,10,male,female
82,0,11,female,male
83,0,12,male,female
84,0,13,female,male
85,0,14,male,female
86,0,15,female,male
87,0,16,female,male
88,0,17,female,female
89,0,18,female,male
90,0,19,female,male
91,0,20,male,female
92,0,21,male,female
93,0,22,female,male
94,0,23,male,female
95,0,24,male,female
96,0,0,female,male
97,0,1,female,male
98,0,0,male,female
99,0,0,female,male
100,0,1,male,female
101,0,2,female,male
102,0,3,male,female
103,0,4,female,male
104,0,5,male,female
105,0,0,female,male
106,0,1,female,male
107,0,2,male,female
108,0,3,male,female
109,0,4,male,female
110,0,5,female,male
111,0,6,female,male
112,1,7,female,male
113,0,8,female,male
114,0,9,male,female
115,0,10,male,female
116,0,11,female,male
117,0,12,female,female
118,0,13,female,male
119,0,14,male,female
120,1,15,male,female
121,0,16,female,male
122,0,0,male,female
123,0,1,female,male
124,0,2,female,female
125,0,0,female,male
126,0,1,female,male
127,0,2,male,female
128,0,3,female,male
129,0,4,female,male
130,0,5,male,female
131,0,6,male,female
132,0,7,male,female
133,0,8,female,male
134,0,9,male,female
135,0,10,male,female
136,1,0,female,male
137,0,1,female,male
138,0,0,female,male
139,0,1,male,female
140,0,2,male,male
141,0,3,male,female
142,0,4,female,female
143,0,5,female,male
144,0,6,female,male
145,0,7,female,male
146,0,8,male,female
147,0,9,male,female
148,1,10,female,male
149,0,11,male,female
150,0,12,male,female
151,0,13,male,female
152,0,14,female,male
153,0,15,male,female
154,0,16,male,female
155,0,0,female,male
156,0,1,female,male
157,0,0,male,female
158,0,0,male,female
159,0,1,female,male
160,0,2,female,male
161,0,3,female,male
162,0,4,male,female
163,0,5,female,male
164,0,6,female,male
165,0,7,female,male
166,0,8,male,female
167,0,9,male,female
168,0,10,male,male
169,0,11,female,male
170,0,12,male,female
171,0,0,male,female
172,0,0,male,female
173,0,0,female,male
174,0,0,female,male
175,0,1,male,female
176,0,2,female,male
177,0,3,female,male
178,0,4,male,female
179,0,5,female,male
180,0,6,male,female
181,0,7,male,female
182,0,8,male,female
183,0,0,female,male
184,0,0,female,male
185,0,1,female,male
186,0,2,male,female
187,0,3,female,male
188,0,4,male,female
189,0,5,female,male
190,0,6,female,male
191,0,0,male,female
192,1,1,female,male
193,0,2,male,female
194,0,3,male,female
195,0,4,female,male
196,0,0,female,male
197,0,1,male,female
198,0,2,male,female
199,0,3,male,female
200,0,4,female,male
201,0,5,male,female
202,0,6,female,male
203,0,7,male,female
204,0,8,female,male
205,0,9,male,female
206,0,10,female,male
207,0,11,female,male
208,0,12,male,female
209,0,13,male,female
210,0,14,female,male
211,0,15,male,female
212,0,16,male,female
213,0,17,female,male
214,0,0,female,male
215,0,1,male,female
216,0,2,male,male
217,0,3,male,female
218,0,4,male,female
219,0,5,female,male
220,1,6,male,female
221,0,7,male,female
222,0,8,female,male
223,0,0,female,male
224,0,1,female,male
225,0,0,female,male
226,0,0,male,female
227,0,1,female,male
228,0,2,female,male
229,0,3,male,female
230,1,4,male,female
231,0,5,female,male
232,0,6,male,female
233,0,7,male,female
234,0,8,female,male
235,0,9,male,female
236,0,10,male,female
237,0,11,female,male
238,0,12,male,female
239,0,13,male,female
240,0,0,male,female
241,0,1,female,male
242,0,2,male,female
243,0,3,female,male
244,0,4,male,female
245,0,5,male,female
246,0,0,female,male
247,0,1,female,male
248,0,2,female,male
249,0,3,male,male
250,0,4,female,male
251,0,5,female,male
252,0,6,male,female
253,0,7,male,female
254,0,8,male,female
255,0,9,female,male
256,0,0,male,female
257,0,1,male,female
258,0,2,female,male
259,0,3,male,female
260,0,4,female,male
261,0,5,male,female
262,0,6,female,male
263,0,7,female,male
264,0,8,male,female
265,0,9,male,female
266,0,10,female,male
267,0,0,female,male
268,0,1,male,female
269,0,2,male,female
270,0,3,male,female
271,0,4,male,female
272,0,5,female,male
273,0,6,female,male
274,0,7,female,male
275,0,8,male,female
276,0,9,female,male
277,0,10,female,male
278,0,11,male,female
279,1,12,female,male
280,0,13,male,female
281,0,14,male,female
282,0,15,male,female
283,0,16,female,male
284,0,0,female,male
285,0,1,male,female
286,0,2,male,male
287,0,3,male,female
288,0,4,male,female
289,0,5,male,female
290,0,6,female,male
291,0,7,male,female
292,0,8,female,male
293,0,9,female,male
294,0,10,female,male
295,0,11,female,male
296,0,12,male,female
297,0,13,male,female
298,0,14,female,male
299,0,15,female,male
300,0,16,male,female
301,0,17,male,female
302,0,18,female,male
303,0,19,female,male
304,0,20,male,female
305,0,0,female,male
306,0,1,female,male
307,0,0,male,female
308,0,1,male,female
309,0,2,male,female
310,0,3,female,male
311,0,4,female,male
312,0,5,male,female
313,0,6,male,female
314,0,0,female,male
315,0,1,female,male
316,0,2,male,female
317,0,3,female,male
318,0,4,male,female
319,0,5,female,male
320,0,6,male,male
321,1,7,male,female
322,0,8,female,male
323,0,9,male,female
324,0,10,male,female
325,0,11,male,female
326,0,12,male,female
327,0,13,female,male
328,0,14,male,female
329,0,0,female,male
330,0,1,female,male
331,0,2,female,male
332,0,0,male,female
333,0,1,female,male
334,0,2,female,male
335,0,3,male,female
336,0,4,female,male
337,0,5,female,male
338,0,6,female,male
339,0,7,male,female
340,0,8,female,female
341,0,9,male,female
342,0,10,male,female
343,0,11,male,female
344,0,0,female,female
345,0,1,female,male
346,0,2,female,male
347,0,3,female,male
348,0,4,female,male
349,1,5,male,female
350,0,6,male,female
351,0,7,female,male
352,0,8,male,female
353,0,9,male,female
354,0,10,female,male
355,0,11,male,female
356,0,12,male,female
357,0,13,female,male
358,0,0,male,female
359,0,1,female,male
360,0,2,female,female
361,0,3,female,male
362,0,4,female,male
363,0,5,female,male
364,0,6,male,female
365,0,7,female,male
366,1,8,female,male
367,0,9,male,female
368,0,10,male,female
369,0,11,male,female
370,0,12,male,female
371,0,13,male,female
372,0,14,female,male
373,0,15,female,male
374,0,16,female,male
375,0,17,female,male
376,0,18,female,male
377,0,19,male,female
378,0,20,male,male
379,0,0,female,male
380,0,1,female,male
381,0,2,female,male
382,0,3,male,female
383,0,4,female,male
384,0,0,female,male
385,0,0,male,female
386,0,1,male,female
387,0,0,male,female
388,0,1,male,female
389,0,2,female,male
390,0,3,male,female
391,0,4,male,female
392,0,5,female,male
393,0,6,female,male
394,0,7,female,male
395,0,8,male,female
396,0,9,male,female
397,0,10,male,male
398,0,11,male,female
399,0,12,male,female
400,0,13,male,female
401,0,14,female,male
402,0,15,female,male
403,0,16,male,male
404,0,17,female,female
405,0,18,female,male
406,0,0,male,female
407,0,1,male,female
408,0,2,female,male
409,0,3,female,male
410,0,4,male,female
411,0,5,male,male
412,0,6,male,female
413,0,7,male,female
414,0,8,female,male
415,0,9,female,male
416,0,10,male,female
417,0,11,female,female
418,0,12,female,male
419,0,13,male,male
420,0,14,male,female
