,is_male,age,age_squared,age_centered,age_bucket_young,age_bucket_mid,age_bucket_old,"industry_Business, Controversial & Special Roles","industry_Fashion, Beauty & Modeling","industry_Media, News & Communication",industry_Music & Dance,industry_Performing Arts & Entertainment,industry_Public Service & Specialized Professions,industry_Sports & Physical Performance,is_international,log_us_state_pop,pro_pro_id,pro_is_male,same_sex_pair,pro_prev_wins,pro_avg_rank,z_score,score_trend,is_top_score,perfect_score,judge_score_stddev,times_in_bottom,cumulative_avg_score,teflon_factor,weeks_survived,season_era,rule_method,judge_save_active
is_male,1.000 ,0.043 ,0.018 ,0.043 ,-0.051 ,0.051 ,-0.012 ,0.014 ,-0.090 ,-0.115 ,-0.039 ,-0.107 ,0.117 ,0.207 ,0.035 ,-0.029 ,-0.159 ,-0.887 ,0.052 ,-0.011 ,-0.102 ,-0.151 ,-0.026 ,-0.057 ,-0.056 ,0.055 ,0.106 ,-0.045 ,0.082 ,0.003 ,-0.026 ,0.040 ,-0.042 
age,0.043 ,1.000 ,0.979 ,1.000 ,-0.570 ,-0.072 ,0.738 ,0.096 ,-0.054 ,-0.131 ,-0.019 ,0.190 ,0.022 ,-0.153 ,-0.020 ,0.021 ,-0.099 ,-0.070 ,-0.145 ,-0.133 ,0.059 ,-0.420 ,-0.103 ,-0.224 ,-0.148 ,-0.022 ,0.204 ,-0.203 ,0.136 ,-0.177 ,-0.015 ,-0.059 ,0.048 
age_squared,0.018 ,0.979 ,1.000 ,0.979 ,-0.447 ,-0.218 ,0.798 ,0.092 ,-0.059 ,-0.094 ,-0.034 ,0.195 ,0.044 ,-0.166 ,-0.027 ,0.026 ,-0.086 ,-0.042 ,-0.124 ,-0.109 ,0.055 ,-0.413 ,-0.102 ,-0.212 ,-0.136 ,-0.018 ,0.210 ,-0.193 ,0.142 ,-0.173 ,-0.006 ,-0.042 ,0.034 
age_centered,0.043 ,1.000 ,0.979 ,1.000 ,-0.570 ,-0.072 ,0.738 ,0.096 ,-0.054 ,-0.131 ,-0.019 ,0.190 ,0.022 ,-0.153 ,-0.020 ,0.021 ,-0.099 ,-0.070 ,-0.145 ,-0.133 ,0.059 ,-0.420 ,-0.103 ,-0.224 ,-0.148 ,-0.022 ,0.204 ,-0.203 ,0.136 ,-0.177 ,-0.015 ,-0.059 ,0.048 
age_bucket_young,-0.051 ,-0.570 ,-0.447 ,-0.570 ,1.000 ,-0.690 ,-0.187 ,-0.040 ,-0.016 ,0.240 ,-0.070 ,-0.065 ,0.116 ,0.012 ,-0.071 ,0.065 ,0.055 ,0.082 ,0.233 ,0.134 ,-0.019 ,0.226 ,0.053 ,0.126 ,0.106 ,0.002 ,-0.072 ,0.125 ,-0.042 ,0.108 ,0.077 ,0.018 ,0.012 
age_bucket_mid,0.051 ,-0.072 ,-0.218 ,-0.072 ,-0.690 ,1.000 ,-0.582 ,-0.070 ,0.048 ,-0.167 ,0.107 ,-0.075 ,-0.119 ,0.099 ,0.068 ,-0.062 ,0.004 ,-0.061 ,-0.138 ,-0.068 ,-0.027 ,0.048 ,0.013 ,0.012 ,-0.015 ,0.009 ,-0.070 ,-0.001 ,-0.049 ,0.009 ,-0.073 ,-0.022 ,-0.011 
age_bucket_old,-0.012 ,0.738 ,0.798 ,0.738 ,-0.187 ,-0.582 ,1.000 ,0.140 ,-0.047 ,-0.043 ,-0.066 ,0.174 ,0.031 ,-0.148 ,-0.012 ,0.011 ,-0.068 ,-0.009 ,-0.074 ,-0.058 ,0.058 ,-0.320 ,-0.078 ,-0.159 ,-0.098 ,-0.014 ,0.176 ,-0.138 ,0.114 ,-0.133 ,0.013 ,0.010 ,0.001 
"industry_Business, Controversial & Special Roles",0.014 ,0.096 ,0.092 ,0.096 ,-0.040 ,-0.070 ,0.140 ,1.000 ,-0.014 ,-0.016 ,-0.036 ,-0.089 ,-0.010 ,-0.048 ,0.091 ,-0.085 ,0.004 ,-0.016 ,-0.021 ,0.006 ,0.037 ,-0.061 ,-0.017 ,-0.039 ,-0.023 ,0.011 ,0.022 ,-0.036 ,0.016 ,-0.045 ,0.000 ,-0.004 ,0.009 
"industry_Fashion, Beauty & Modeling",-0.090 ,-0.054 ,-0.059 ,-0.054 ,-0.016 ,0.048 ,-0.047 ,-0.014 ,1.000 ,-0.032 ,-0.071 ,-0.175 ,-0.020 ,-0.095 ,0.153 ,-0.147 ,-0.021 ,0.103 ,-0.003 ,-0.025 ,-0.024 ,0.001 ,-0.009 ,-0.006 ,-0.027 ,0.008 ,-0.055 ,-0.057 ,-0.046 ,-0.070 ,-0.066 ,0.021 ,-0.032 
"industry_Media, News & Communication",-0.115 ,-0.131 ,-0.094 ,-0.131 ,0.240 ,-0.167 ,-0.043 ,-0.016 ,-0.032 ,1.000 ,-0.082 ,-0.202 ,-0.023 ,-0.109 ,-0.020 ,0.023 ,-0.029 ,0.063 ,0.204 ,0.102 ,0.008 ,0.097 ,0.011 ,0.045 ,0.080 ,-0.035 ,-0.071 ,0.073 ,-0.055 ,0.025 ,0.149 ,-0.142 ,0.146 
industry_Music & Dance,-0.039 ,-0.019 ,-0.034 ,-0.019 ,-0.070 ,0.107 ,-0.066 ,-0.036 ,-0.071 ,-0.082 ,1.000 ,-0.443 ,-0.051 ,-0.239 ,-0.062 ,0.044 ,-0.048 ,0.015 ,-0.035 ,-0.077 ,-0.007 ,0.069 ,0.007 ,0.058 ,0.006 ,0.058 ,-0.064 ,0.013 ,-0.030 ,0.003 ,-0.060 ,0.027 ,-0.039 
industry_Performing Arts & Entertainment,-0.107 ,0.190 ,0.195 ,0.190 ,-0.065 ,-0.075 ,0.174 ,-0.089 ,-0.175 ,-0.202 ,-0.443 ,1.000 ,-0.126 ,-0.588 ,0.043 ,-0.025 ,0.086 ,0.116 ,-0.046 ,0.024 ,0.040 ,-0.069 ,0.000 ,-0.028 ,-0.003 ,-0.037 ,0.079 ,-0.024 ,0.041 ,0.008 ,0.010 ,-0.044 ,0.057 
industry_Public Service & Specialized Professions,0.117 ,0.022 ,0.044 ,0.022 ,0.116 ,-0.119 ,0.031 ,-0.010 ,-0.020 ,-0.023 ,-0.051 ,-0.126 ,1.000 ,-0.068 ,0.050 ,-0.037 ,0.048 ,-0.120 ,-0.030 ,-0.008 ,-0.012 ,-0.083 ,-0.013 ,-0.023 ,-0.008 ,0.018 ,0.117 ,-0.027 ,0.096 ,0.015 ,0.074 ,-0.059 ,0.069 
industry_Sports & Physical Performance,0.207 ,-0.153 ,-0.166 ,-0.153 ,0.012 ,0.099 ,-0.148 ,-0.048 ,-0.095 ,-0.109 ,-0.239 ,-0.588 ,-0.068 ,1.000 ,-0.080 ,0.066 ,-0.054 ,-0.179 ,0.008 ,0.004 ,-0.040 ,0.014 ,0.000 ,-0.019 ,-0.020 ,-0.001 ,-0.023 ,0.022 ,-0.011 ,0.008 ,-0.021 ,0.099 ,-0.105 
is_international,0.035 ,-0.020 ,-0.027 ,-0.020 ,-0.071 ,0.068 ,-0.012 ,0.091 ,0.153 ,-0.020 ,-0.062 ,0.043 ,0.050 ,-0.080 ,1.000 ,-0.988 ,-0.063 ,-0.030 ,-0.060 ,0.106 ,-0.081 ,0.043 ,0.012 ,0.015 ,0.029 ,-0.012 ,-0.039 ,0.003 ,-0.033 ,0.003 ,-0.081 ,0.090 ,-0.084 
log_us_state_pop,-0.029 ,0.021 ,0.026 ,0.021 ,0.065 ,-0.062 ,0.011 ,-0.085 ,-0.147 ,0.023 ,0.044 ,-0.025 ,-0.037 ,0.066 ,-0.988 ,1.000 ,0.061 ,0.024 ,0.060 ,-0.108 ,0.095 ,-0.049 ,-0.013 ,-0.017 ,-0.028 ,0.003 ,0.032 ,-0.009 ,0.027 ,-0.005 ,0.100 ,-0.100 ,0.101 
pro_pro_id,-0.159 ,-0.099 ,-0.086 ,-0.099 ,0.055 ,0.004 ,-0.068 ,0.004 ,-0.021 ,-0.029 ,-0.048 ,0.086 ,0.048 ,-0.054 ,-0.063 ,0.061 ,1.000 ,0.102 ,-0.064 ,-0.089 ,0.019 ,0.042 ,0.017 ,0.037 ,0.058 ,-0.029 ,-0.025 ,0.055 ,-0.009 ,0.033 ,0.091 ,0.123 ,-0.091 
pro_is_male,-0.887 ,-0.070 ,-0.042 ,-0.070 ,0.082 ,-0.061 ,-0.009 ,-0.016 ,0.103 ,0.063 ,0.015 ,0.116 ,-0.120 ,-0.179 ,-0.030 ,0.024 ,0.102 ,1.000 ,0.063 ,0.050 ,0.126 ,0.183 ,0.030 ,0.083 ,0.051 ,-0.052 ,-0.125 ,0.056 ,-0.099 ,0.003 ,0.021 ,-0.024 ,0.028 
same_sex_pair,0.052 ,-0.145 ,-0.124 ,-0.145 ,0.233 ,-0.138 ,-0.074 ,-0.021 ,-0.003 ,0.204 ,-0.035 ,-0.046 ,-0.030 ,0.008 ,-0.060 ,0.060 ,-0.064 ,0.063 ,1.000 ,0.022 ,0.082 ,0.078 ,0.006 ,0.037 ,0.040 ,-0.002 ,-0.061 ,0.010 ,-0.041 ,0.038 ,0.106 ,-0.149 ,0.170 
pro_prev_wins,-0.011 ,-0.133 ,-0.109 ,-0.133 ,0.134 ,-0.068 ,-0.058 ,0.006 ,-0.025 ,0.102 ,-0.077 ,0.024 ,-0.008 ,0.004 ,0.106 ,-0.108 ,-0.089 ,0.050 ,0.022 ,1.000 ,-0.496 ,0.131 ,0.028 ,0.085 ,0.075 ,-0.020 ,-0.053 ,0.112 ,-0.051 ,0.090 ,0.124 ,0.054 ,-0.011 
pro_avg_rank,-0.102 ,0.059 ,0.055 ,0.059 ,-0.019 ,-0.027 ,0.058 ,0.037 ,-0.024 ,0.008 ,-0.007 ,0.040 ,-0.012 ,-0.040 ,-0.081 ,0.095 ,0.019 ,0.126 ,0.082 ,-0.496 ,1.000 ,-0.026 ,-0.007 ,-0.047 ,-0.018 ,0.019 ,-0.025 ,-0.022 ,-0.019 ,-0.036 ,0.255 ,-0.182 ,0.188 
z_score,-0.151 ,-0.420 ,-0.413 ,-0.420 ,0.226 ,0.048 ,-0.320 ,-0.061 ,0.001 ,0.097 ,0.069 ,-0.069 ,-0.083 ,0.014 ,0.043 ,-0.049 ,0.042 ,0.183 ,0.078 ,0.131 ,-0.026 ,1.000 ,0.585 ,0.585 ,0.283 ,-0.001 ,-0.398 ,0.146 ,-0.245 ,0.000 ,0.000 ,0.000 ,0.000 
score_trend,-0.026 ,-0.103 ,-0.102 ,-0.103 ,0.053 ,0.013 ,-0.078 ,-0.017 ,-0.009 ,0.011 ,0.007 ,0.000 ,-0.013 ,0.000 ,0.012 ,-0.013 ,0.017 ,0.030 ,0.006 ,0.028 ,-0.007 ,0.585 ,1.000 ,0.366 ,0.176 ,-0.031 ,0.072 ,-0.074 ,0.219 ,-0.043 ,0.014 ,0.001 ,0.001 
is_top_score,-0.057 ,-0.224 ,-0.212 ,-0.224 ,0.126 ,0.012 ,-0.159 ,-0.039 ,-0.006 ,0.045 ,0.058 ,-0.028 ,-0.023 ,-0.019 ,0.015 ,-0.017 ,0.037 ,0.083 ,0.037 ,0.085 ,-0.047 ,0.585 ,0.366 ,1.000 ,0.408 ,-0.109 ,-0.126 ,0.159 ,-0.088 ,0.149 ,-0.007 ,-0.016 ,0.004 
perfect_score,-0.056 ,-0.148 ,-0.136 ,-0.148 ,0.106 ,-0.015 ,-0.098 ,-0.023 ,-0.027 ,0.080 ,0.006 ,-0.003 ,-0.008 ,-0.020 ,0.029 ,-0.028 ,0.058 ,0.051 ,0.040 ,0.075 ,-0.018 ,0.283 ,0.176 ,0.408 ,1.000 ,-0.148 ,-0.057 ,0.207 ,-0.032 ,0.296 ,0.063 ,-0.041 ,0.050 
judge_score_stddev,0.055 ,-0.022 ,-0.018 ,-0.022 ,0.002 ,0.009 ,-0.014 ,0.011 ,0.008 ,-0.035 ,0.058 ,-0.037 ,0.018 ,-0.001 ,-0.012 ,0.003 ,-0.029 ,-0.052 ,-0.002 ,-0.020 ,0.019 ,-0.001 ,-0.031 ,-0.109 ,-0.148 ,1.000 ,-0.030 ,-0.060 ,-0.033 ,-0.137 ,-0.089 ,0.040 ,-0.077 
times_in_bottom,0.106 ,0.204 ,0.210 ,0.204 ,-0.072 ,-0.070 ,0.176 ,0.022 ,-0.055 ,-0.071 ,-0.064 ,0.079 ,0.117 ,-0.023 ,-0.039 ,0.032 ,-0.025 ,-0.125 ,-0.061 ,-0.053 ,-0.025 ,-0.398 ,0.072 ,-0.126 ,-0.057 ,-0.030 ,1.000 ,0.063 ,0.569 ,0.306 ,-0.022 ,-0.011 ,0.001 
cumulative_avg_score,-0.045 ,-0.203 ,-0.193 ,-0.203 ,0.125 ,-0.001 ,-0.138 ,-0.036 ,-0.057 ,0.073 ,0.013 ,-0.024 ,-0.027 ,0.022 ,0.003 ,-0.009 ,0.055 ,0.056 ,0.010 ,0.112 ,-0.022 ,0.146 ,-0.074 ,0.159 ,0.207 ,-0.060 ,0.063 ,1.000 ,0.044 ,0.679 ,0.063 ,0.032 ,-0.011 
teflon_factor,0.082 ,0.136 ,0.142 ,0.136 ,-0.042 ,-0.049 ,0.114 ,0.016 ,-0.046 ,-0.055 ,-0.030 ,0.041 ,0.096 ,-0.011 ,-0.033 ,0.027 ,-0.009 ,-0.099 ,-0.041 ,-0.051 ,-0.019 ,-0.245 ,0.219 ,-0.088 ,-0.032 ,-0.033 ,0.569 ,0.044 ,1.000 ,0.171 ,-0.032 ,-0.003 ,-0.013 
weeks_survived,0.003 ,-0.177 ,-0.173 ,-0.177 ,0.108 ,0.009 ,-0.133 ,-0.045 ,-0.070 ,0.025 ,0.003 ,0.008 ,0.015 ,0.008 ,0.003 ,-0.005 ,0.033 ,0.003 ,0.038 ,0.090 ,-0.036 ,0.000 ,-0.043 ,0.149 ,0.296 ,-0.137 ,0.306 ,0.679 ,0.171 ,1.000 ,0.048 ,-0.018 ,0.045 
season_era,-0.026 ,-0.015 ,-0.006 ,-0.015 ,0.077 ,-0.073 ,0.013 ,0.000 ,-0.066 ,0.149 ,-0.060 ,0.010 ,0.074 ,-0.021 ,-0.081 ,0.100 ,0.091 ,0.021 ,0.106 ,0.124 ,0.255 ,0.000 ,0.014 ,-0.007 ,0.063 ,-0.089 ,-0.022 ,0.063 ,-0.032 ,0.048 ,1.000 ,-0.459 ,0.570 
rule_method,0.040 ,-0.059 ,-0.042 ,-0.059 ,0.018 ,-0.022 ,0.010 ,-0.004 ,0.021 ,-0.142 ,0.027 ,-0.044 ,-0.059 ,0.099 ,0.090 ,-0.100 ,0.123 ,-0.024 ,-0.149 ,0.054 ,-0.182 ,0.000 ,0.001 ,-0.016 ,-0.041 ,0.040 ,-0.011 ,0.032 ,-0.003 ,-0.018 ,-0.459 ,1.000 ,-0.931 
judge_save_active,-0.042 ,0.048 ,0.034 ,0.048 ,0.012 ,-0.011 ,0.001 ,0.009 ,-0.032 ,0.146 ,-0.039 ,0.057 ,0.069 ,-0.105 ,-0.084 ,0.101 ,-0.091 ,0.028 ,0.170 ,-0.011 ,0.188 ,0.000 ,0.001 ,0.004 ,0.050 ,-0.077 ,0.001 ,-0.011 ,-0.013 ,0.045 ,0.570 ,-0.931 ,1.000 
